filename,processing_time,file_size_mb,megapixels,width,height,codes_found,strategies_used,preprocessing_complexity,rotation_attempts,pixels_per_second,time_per_megapixel,overall_quality_score,contrast_score,contrast_category,sharpness_score,sharpness_category
05102009185.jpg,0.647217,0.19508647918701172,1.92,1600,1200,2,1,basic,0,2966547.5412419634,0.33709218750000003,46.132577402878084,0.2168376566634233,medium,89.73278359417279,blurred
05102009187.jpg,0.648568,0.21574115753173828,1.92,1600,1200,1,1,basic,0,2960368.0724303387,0.33779583333333335,48.033660643742294,0.2545555502082049,medium,184.32768853650066,moderate
05102009194.jpg,0.653521,0.22371959686279297,1.92,1600,1200,1,1,basic,0,2937931.6043401817,0.34037552083333333,45.46891939072357,0.22426380262149861,medium,125.95130625650359,moderate
05102009162.jpg,0.656415,0.2704782485961914,1.92,1600,1200,1,1,basic,0,2924978.8624574393,0.3418828125,48.85993361883635,0.19943845405945954,medium,367.0454114618163,moderate
06102009248.jpg,0.656699,0.2098674774169922,1.92,1600,1200,1,1,basic,0,2923713.908502982,0.3420307291666667,50.17962438585718,0.25956835958338187,medium,287.05929323616306,moderate
05102009189.jpg,0.657869,0.20910263061523438,1.92,1600,1200,2,1,basic,0,2918514.172274419,0.3426401041666667,45.89239925468361,0.22458488429852,medium,115.59765861346322,moderate
06102009255.jpg,0.662044,0.2073974609375,1.92,1600,1200,1,1,basic,0,2900109.3582903855,0.3448145833333333,46.76811558748676,0.19428193579609299,medium,111.30933437491214,moderate
05102009195.jpg,0.663503,0.21261310577392578,1.92,1600,1200,1,1,basic,0,2893732.2061844487,0.34557447916666667,44.44784408178411,0.22095830884097875,medium,112.97554493670545,moderate
05102009208.jpg,0.667208,0.20475482940673828,1.92,1600,1200,1,1,basic,0,2877663.3373700553,0.34750416666666667,48.423121599105414,0.2626896733370234,medium,140.7072437482639,moderate
05102009172.jpg,0.673451,0.22388744354248047,1.92,1600,1200,1,1,basic,0,2850986.931491675,0.3507557291666667,43.84689806343785,0.18357201460213576,medium,174.31969871286336,moderate
05102009212.jpg,0.677635,0.21318340301513672,1.92,1600,1200,1,1,basic,0,2833383.7537907576,0.3529348958333333,47.57333653116551,0.2342812670398343,medium,158.36878743486872,moderate
05102009200.jpg,0.678885,0.2301950454711914,1.92,1600,1200,1,1,basic,0,2828166.7734594224,0.3535859375,49.03063319961534,0.23003022278114113,medium,273.7098822386708,moderate
05102009198.jpg,0.685374,0.22496700286865234,1.92,1600,1200,1,1,basic,0,2801390.1898817285,0.356965625,48.9597240913599,0.24260628751595537,medium,245.9911462980076,moderate
05102009202.jpg,0.687116,0.22313404083251953,1.92,1600,1200,1,1,basic,0,2794288.0095937224,0.35787291666666665,46.93315478730693,0.22560718901748902,medium,472.5613150933158,moderate
05102009146.jpg,0.689672,0.2503929138183594,1.92,1600,1200,1,1,basic,0,2783932.072057442,0.35920416666666666,47.555763244706604,0.22101727499943735,medium,333.34132030564206,moderate
05102009201.jpg,0.690193,0.21071434020996094,1.92,1600,1200,1,1,basic,0,2781830.589414845,0.35947552083333334,48.53503541309937,0.2414520383590721,medium,436.62052543545985,moderate
05102009165.jpg,0.693417,0.24199485778808594,1.92,1600,1200,1,1,basic,0,2768896.6379537857,0.36115468749999996,45.95742761264025,0.20689630482383412,medium,173.55841926030564,moderate
05102009207.jpg,0.693742,0.23248863220214844,1.92,1600,1200,1,1,basic,0,2767599.4822282637,0.3613239583333333,50.47112515246553,0.23416825472239172,medium,364.45388453144506,moderate
05102009178.jpg,0.694847,0.20777320861816406,1.92,1600,1200,1,1,basic,0,2763198.2292504683,0.36189947916666665,46.756489758988934,0.20472625777839884,medium,98.17829895012042,blurred
05102009220.jpg,0.706275,0.2484140396118164,1.92,1600,1200,1,1,basic,0,2718487.8411383666,0.3678515625,48.790053591720536,0.24254900488496572,medium,248.45622886145395,moderate
