filename,processing_time,codes_found,detection_success,megapixels,file_size_mb,strategies_used,overall_quality_score,resolution_category,contrast_score,contrast_category,sharpness_score,sharpness_category,brightness,lighting_category,noise_level,noise_category,has_qr_code,has_barcode,resolution_range,contrast_range
05102009177.jpg,0.853361,1,1,1.92,0.27019309997558594,1,49.41007196255052,medium,0.2074761419415874,medium,259.44615642886674,moderate,119.1084640625,optimal,0.9466661339657425,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009178.jpg,0.694847,1,1,1.92,0.20777320861816406,1,46.756489758988934,medium,0.20472625777839884,medium,98.17829895012042,blurred,128.9874421875,optimal,0.5827998945181622,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009179.jpg,0.781696,1,1,1.92,0.2589302062988281,1,50.14267628918965,medium,0.21476252312165392,medium,323.66263228364136,moderate,112.03757552083333,optimal,0.8924742462695269,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009180.jpg,0.816204,1,1,1.92,0.2525911331176758,1,47.551025498717976,medium,0.20641251713699682,medium,204.13195148299448,moderate,115.34038541666666,optimal,0.8051956939059851,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009183.jpg,2.44257,1,1,1.92,0.2757081985473633,1,50.08844829633236,medium,0.22988666868563307,medium,311.92027370650067,moderate,142.69976666666668,optimal,1.072448139287979,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009184.jpg,1.947143,1,1,1.92,0.2924184799194336,1,51.80375310878013,medium,0.21069664777292338,medium,409.36705831610686,moderate,110.88312239583334,optimal,1.0912705074979172,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009185.jpg,0.647217,2,1,1.92,0.19508647918701172,1,46.132577402878084,medium,0.2168376566634233,medium,89.73278359417279,blurred,121.35307291666666,optimal,0.5674597473526748,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009186.jpg,0.74966,1,1,1.92,0.2757139205932617,1,48.87897600407793,medium,0.2030306747440743,medium,292.84283608445196,moderate,111.3755171875,optimal,0.9885311293803325,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009187.jpg,0.648568,1,1,1.92,0.21574115753173828,1,48.033660643742294,medium,0.2545555502082049,medium,184.32768853650066,moderate,112.88738072916667,optimal,0.6462447529799207,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009189.jpg,0.657869,2,1,1.92,0.20910263061523438,1,45.89239925468361,medium,0.22458488429852,medium,115.59765861346322,moderate,114.8868828125,optimal,0.6336361318414679,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009190.jpg,0.745259,1,1,1.92,0.24521350860595703,1,51.04631319959036,medium,0.23442659977153485,medium,329.0563311605458,moderate,114.44866770833333,optimal,0.9934922632541527,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009191.jpg,0.784624,1,1,1.92,0.2779560089111328,1,51.626673017679494,medium,0.21806942997685436,medium,407.2396562609331,moderate,110.44243802083334,optimal,1.3303581415331682,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009192.jpg,0.758099,1,1,1.92,0.26732349395751953,1,51.58000212990831,medium,0.2282664626463541,medium,375.3686877279945,moderate,111.78777135416667,optimal,1.0462133124569424,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009193.jpg,0.781346,1,1,1.92,0.2780885696411133,1,49.59799570410813,medium,0.21862299189028128,medium,334.86972485303784,moderate,107.4450140625,optimal,1.0934420674160306,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009194.jpg,0.653521,1,1,1.92,0.22371959686279297,1,45.46891939072357,medium,0.22426380262149861,medium,125.95130625650359,moderate,110.93310572916667,optimal,0.6877298181545913,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009195.jpg,0.663503,1,1,1.92,0.21261310577392578,1,44.44784408178411,medium,0.22095830884097875,medium,112.97554493670545,moderate,106.75103385416666,optimal,0.6457624750762898,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009196.jpg,0.728747,1,1,1.92,0.2517127990722656,1,52.25945439446555,medium,0.24324949650374536,medium,293.7464900802385,moderate,125.9804796875,optimal,0.9270891426830643,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009197.jpg,0.748701,1,1,1.92,0.2634153366088867,1,47.40842417461039,medium,0.23502377850781261,medium,186.87225647919672,moderate,113.29767135416667,optimal,0.9111604418949107,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009198.jpg,0.685374,1,1,1.92,0.22496700286865234,1,48.9597240913599,medium,0.24260628751595537,medium,245.9911462980076,moderate,111.57108697916667,optimal,0.7565587311133539,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009199.jpg,3.461506,1,1,1.92,0.2699747085571289,2,48.86162869990022,medium,0.22209380920758165,medium,267.86897592831997,moderate,112.591921875,optimal,1.0489188696737815,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009200.jpg,0.678885,1,1,1.92,0.2301950454711914,1,49.03063319961534,medium,0.23003022278114113,medium,273.7098822386708,moderate,109.796346875,optimal,0.7858257984289834,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009201.jpg,0.690193,1,1,1.92,0.21071434020996094,1,48.53503541309937,medium,0.2414520383590721,medium,436.62052543545985,moderate,79.52455572916666,optimal,0.8912187961430166,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009202.jpg,0.687116,1,1,1.92,0.22313404083251953,1,46.93315478730693,medium,0.22560718901748902,medium,472.5613150933158,moderate,67.44397395833333,uneven,1.1005047108880246,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009203.jpg,0.640579,1,1,1.92,0.20097923278808594,1,44.519564577273165,medium,0.2137200662035289,medium,395.2715816896676,moderate,65.88222708333333,uneven,1.0396936135208004,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009205.jpg,0.754642,1,1,1.92,0.26166343688964844,1,50.6196659913122,medium,0.24290172926955905,medium,311.33587455996053,moderate,141.95015260416668,optimal,0.9695834998506276,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009206.jpg,0.811492,1,1,1.92,0.2602977752685547,1,53.74922379332429,medium,0.25378294573438437,medium,396.81169481819006,moderate,137.40645885416666,optimal,0.9616878904247154,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009207.jpg,0.693742,1,1,1.92,0.23248863220214844,1,50.47112515246553,medium,0.23416825472239172,medium,364.45388453144506,moderate,150.9013890625,optimal,0.8236222014294137,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009208.jpg,0.667208,1,1,1.92,0.20475482940673828,1,48.423121599105414,medium,0.2626896733370234,medium,140.7072437482639,moderate,133.92482083333334,optimal,0.6539862953470259,low,False,True,800x600 - 1920x1080,Low (<0.4)
